Fecha,Nombre Corto,Localidad,Comuna,Grupo Cliente,Clientes,M3 Ap
2030-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28823.737434634706,617203.1507216048
2030-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28824.14061059339,618540.9616552237
2030-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28824.521809525082,619878.7725888425
2025-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.351192401097866e-16,1.635939527852815e-24
2025-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354791158938884e-16,1.3857795019028281e-24
2025-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792543902154e-16,1.4240327731991303e-24
2025-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.35479254443515e-16,1.4181832664311664e-24
2025-05-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4190777449494458e-24
2025-06-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.418940965584723e-24
2025-07-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189618812291255e-24
2025-08-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189586829091037e-24
2025-09-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591719808608e-24
2025-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189590971943534e-24
2025-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591086303475e-24
2025-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591068816101e-24
2026-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071490187e-24
2026-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071081279e-24
2026-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071143808e-24
2026-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071134246e-24
2026-05-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071135708e-24
2026-06-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071135484e-24
2026-07-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071135519e-24
2026-08-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071135513e-24
2026-09-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071135513e-24
2026-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071135513e-24
2026-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071135513e-24
2026-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071135513e-24
2027-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,MELIPILLA,Residencial,9.354792544435355e-16,1.4189591071135513e-24
